id,name,code
hr_profession_72240,"Rectificador de rodas, polidor e afiador de metais ",72240
hr_profession_72310,Mecânico e reparador de veículos automóveis,72310
hr_profession_72320,Técnico de manutenção e reparação de motores de avião,72320
hr_profession_72330,"Mecânico e reparador, de máquinas agrícolas e industriais ",72330
hr_profession_72340,Reparador de bicicletas e similares,72340
hr_profession_73110,Trabalhador qualificado do fabrico e reparação de instrumentos de precisão,73110
hr_profession_73120,Trabalhador qualificado do fabrico e afinação de instrumentos musicais,73120
hr_profession_73131,Joalheiro,73131
hr_profession_73132,Filigranista,73132
hr_profession_73133,Outros ourives e trabalhadores de diamantes industriais,73133
hr_profession_73141,Oleiro,73141
hr_profession_73142,"Modelador e formista, de cerâmica ",73142
hr_profession_73143,Outros oleiros e similares,73143
hr_profession_73151,Soprador de artigos de vidro,73151
hr_profession_73152,Cortador de vidro,73152
hr_profession_73153,Polidor e acabador de artigos de vidro,73153
hr_profession_73161,"Lapidador e gravador, de vidro, cerâmica e outros materiais",73161
hr_profession_73162,"Pintor-decorador de vidro, cerâmica e outros materiais",73162
hr_profession_73171,Artesão de artigos em madeira,73171
hr_profession_73172,Artesão de cestaria e artigos similares,73172
hr_profession_73181,"Artesão de rendas, bordados e tapeçarias, manuais ",73181
hr_profession_73182,Artesão de artigos de couro,73182
hr_profession_73183,"Outros trabalhadores manuais de artigos têxteis, couro e materiais similares",73183
hr_profession_73190,"Outros trabalhadores qualificados do fabrico de instrumentos de precisão, artesãos e similares",73190
hr_profession_73210,Operador de pré-impressão,73210
hr_profession_73221,Serígrafo e similar,73221
hr_profession_73222,Outros operadores de impressão,73222
hr_profession_73231,Encadernador,73231
hr_profession_73232,Outros trabalhadores relacionados com o acabamento da impressão,73232
hr_profession_74110,Electricista de construções e similares,74110
hr_profession_74121,Instalador de sistemas solares térmicos,74121
hr_profession_74122,Instalador de sistemas solares fotovoltaicos,74122
hr_profession_74123,Instalador de sistemas de bioenergia,74123
hr_profession_74124,"Electromecânico, electricista e outros instaladores de máquinas e equipamentos eléctricos ",74124
hr_profession_74130,Instalador e reparador de linhas eléctricas,74130
hr_profession_74210,Mecânico e reparador de equipamentos electrónicos,74210
hr_profession_74220,"Instalador e reparador, de tecnologias de informação e comunicação  ",74220
hr_profession_75111,Matador de animais,75111
hr_profession_75112,Cortador de carne,75112
hr_profession_75113,Salsicheiro,75113
hr_profession_75114,Preparador e conservador de peixe,75114
hr_profession_75115,"Outros preparadores de carne, peixe e similares",75115
hr_profession_75121,Padeiro,75121
hr_profession_75122,Pasteleiro,75122
hr_profession_75123,Confeiteiro,75123
hr_profession_75130,Trabalhador do fabrico de produtos lácteos,75130
